message_size_kb,transfer_steps,connection_quality,has_urgent_keyword,has_link,is_spam,is_lost
49.73,10,0.954,0,0,0,0
60.27,4,0.369,0,0,0,1
77.18,17,0.025,0,0,0,1
21.13,8,0.334,1,0,1,1
39.09,2,0.664,0,0,0,0
17.82,6,0.872,0,0,1,0
47.33,5,0.882,0,0,0,1
94.81,6,0.766,0,0,1,0
29.97,4,0.771,0,0,0,0
55.37,5,0.686,0,0,0,0
25.54,7,0.487,0,1,1,0
9.55,4,0.679,1,0,0,0
40.08,8,0.229,1,0,0,1
111.13,6,0.694,0,1,1,1
52.32,13,0.212,0,0,0,1
61.68,40,0.444,0,0,1,1
26.79,9,0.93,0,1,1,0
46.81,14,0.296,0,0,1,1
13.07,1,1.0,0,0,0,1
51.13,6,0.901,0,0,1,0
13.63,7,0.932,0,0,1,1
115.53,5,0.875,0,0,0,1
32.9,4,0.913,0,0,0,0
12.68,2,0.556,0,0,0,0
32.47,14,0.136,0,0,0,0
69.36,5,0.831,0,0,0,0
92.84,2,0.826,0,0,0,1
105.35,18,0.355,0,0,0,1
25.29,5,0.886,0,0,0,0
25.01,6,0.651,0,0,0,0
27.76,5,0.787,1,0,0,0
31.83,12,0.324,0,0,0,0
66.11,18,0.31,0,0,0,1
95.64,16,0.623,1,0,0,1
18.16,4,0.984,0,0,1,1
85.58,6,0.647,0,0,1,1
29.0,4,0.737,0,0,0,0
77.0,21,0.748,0,0,0,0
94.95,4,0.863,0,0,1,1
27.4,10,0.29,0,0,1,1
12.32,6,0.767,0,0,1,0
426.24,7,0.68,1,0,0,0
37.21,7,0.212,1,0,0,1
70.16,7,0.28,1,0,0,1
42.91,10,0.75,0,0,0,1
1065.35,7,0.757,0,0,0,0
143.04,16,0.2,0,1,1,0
793.99,12,0.879,1,0,0,1
66.38,5,0.831,0,0,0,0
15.89,5,0.625,0,0,1,0
42.3,3,0.906,0,0,1,0
25.92,8,0.967,0,1,0,0
24.76,4,0.87,0,0,1,0
71.74,7,0.827,1,0,0,0
31.21,4,0.659,0,0,1,0
24.61,14,0.0,0,0,1,1
123.81,12,0.215,0,0,0,1
24.25,8,0.695,0,0,1,0
89.58,10,0.433,0,0,1,1
40.47,20,0.477,0,0,1,1
33.47,5,0.815,0,0,1,0
188.3,5,0.988,0,0,0,0
48.53,2,0.671,0,0,1,0
33.0,4,0.937,0,0,0,0
37.81,10,0.206,0,0,1,1
106.58,10,0.228,0,0,0,1
6.46,7,0.8,0,0,1,0
23.38,4,0.927,1,0,0,0
19.46,9,0.211,1,0,1,1
31.23,7,0.65,0,0,0,0
25.49,10,0.132,0,0,0,1
25.67,6,0.815,1,0,0,1
49.53,5,1.0,0,0,0,0
59.85,3,0.594,0,0,1,1
34.42,5,0.808,0,0,0,0
7.56,7,0.893,0,0,0,1
6.42,4,0.614,0,0,1,0
35.69,6,0.653,0,0,0,1
24.68,15,0.131,0,0,1,0
26.87,10,0.741,1,0,0,0
33.0,26,0.332,0,0,0,1
32.03,8,1.0,0,0,0,0
32.34,6,0.881,0,0,0,0
7.99,19,0.093,0,0,0,1
60.85,10,0.047,0,0,0,1
15.72,13,0.128,0,0,0,1
55.08,9,0.195,0,0,0,1
109.69,12,0.141,0,0,1,1
7.39,3,0.796,0,0,0,0
67.63,6,0.51,0,0,0,1
72.81,4,0.929,0,0,0,1
76.82,12,0.154,1,0,0,1
75.5,11,0.703,1,0,1,0
83.06,7,0.781,1,0,0,1
43.95,3,0.365,1,0,1,1
54.73,2,0.803,0,0,0,0
57.64,4,0.918,0,0,1,0
58.91,4,0.681,0,0,0,1
28.81,7,0.563,0,0,0,0
41.4,5,0.468,1,0,1,0
15.54,3,0.453,1,0,0,0
25.3,3,0.697,0,0,0,0
114.06,22,0.199,1,0,1,1
23.98,6,0.793,0,0,0,1
67.49,10,0.598,0,0,0,1
10.09,26,0.924,0,0,0,0
21.4,7,0.782,0,0,0,1
45.81,5,0.834,0,0,0,1
35.98,5,0.693,0,0,0,1
13.07,13,0.395,0,0,0,1
9.01,10,0.922,0,0,0,1
24.6,4,0.861,0,0,1,0
3.74,6,0.954,0,0,0,0
5.03,6,0.586,0,0,0,0
30.66,15,0.268,0,0,0,1
51.25,3,1.0,0,0,1,0
51.76,15,0.25,0,0,1,1
69.55,11,0.799,0,1,0,0
13.15,14,0.337,1,0,0,1
61.06,6,0.773,0,0,1,0
22.77,11,0.151,1,0,0,1
32.86,18,0.257,0,0,0,1
5.7,7,0.927,0,0,0,1
307.11,3,1.0,0,0,1,0
40.54,11,0.071,0,0,0,1
26.71,17,0.339,0,0,1,1
23.9,6,0.366,0,1,1,0
52.14,4,0.813,1,0,0,0
55.05,7,0.704,1,1,1,0
49.98,14,0.378,0,0,0,1
46.16,4,0.459,1,1,1,1
75.37,17,0.258,0,0,1,1
126.38,17,0.212,0,0,0,1
103.57,20,0.354,0,0,0,1
38.14,4,0.779,0,1,1,0
60.86,7,0.852,0,0,0,0
